2025-12-10 11:57:21 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 11:57:25 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 11:57:25 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 11:58:33 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 11:58:33 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 11:59:51 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 11:59:51 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:04:49 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:04:49 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:12:11 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:12:11 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:12:55 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:12:55 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:12:58 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:12:58 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:15:41 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:15:41 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:15:58 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:17:18 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:17:26 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:17:26 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:18:36 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:18:36 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:18:36 | ERROR | Query failed | {"sql":"SELECT Users.* \r\n                FROM Users \r\n                INNER JOIN University_User \r\n                ON Users.ID = University_User.User_ID  \r\n                WHERE University_User.University_ID = 48","error":null}
2025-12-10 12:19:14 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:19:14 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:19:50 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:19:50 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:20:10 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:20:10 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:20:45 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:20:45 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:20:49 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:20:49 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:22:55 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:22:55 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:23:28 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:23:28 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:23:29 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:23:29 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:24:37 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:24:37 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-10 12:24:38 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-10 12:24:38 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
